Username,Password,Role
160033,Aureus Sciences (*Now part of Elsevier),Applicant
160034,AutoGrid Systems,Applicant
160035,Avalara,Applicant
160036,Avvo,Applicant
160037,Ayasdi,Applicant
160038,Azavea,Applicant
160039,BaleFire Global,Applicant
160040,Barchart,Applicant
160041,Be Informed,Applicant
160042,Bekins,Applicant
160043,Berkery Noyes MandASoft,Applicant
160044,Berkshire Hathaway,Applicant
160045,BetterLesson,Applicant
160046,BillGuard,Applicant
160047,Bing,Applicant
160048,Biovia,Applicant
160049,BizVizz,Applicant
160050,BlackRock,Applicant
160051,Bloomberg,Applicant
160052,Booz Allen Hamilton,Applicant
160053,Boston Consulting Group,Applicant
160054,Boundless,Applicant
160055,Bridgewater,Applicant
160056,Brightscope,Applicant
160057,BuildFax,Applicant
160058,Buildingeye,Applicant
160059,BuildZoom,Applicant
160060,Business and Legal Resources,Applicant
160061,Business Monitor International,Applicant
160062,"Calcbench, Inc.",Applicant
160063,Cambridge Information Group,Applicant
160064,Cambridge Semantics,Applicant
160065,CAN Capital,Applicant
160066,Canon,Applicant
160067,Capital Cube,Applicant
160068,Cappex,Applicant
160069,Captricity,Applicant
160070,CareSet Systems,Applicant
160071,Careset.com,Applicant
160072,CARFAX,Applicant
160073,Caspio,Applicant
160074,Castle Biosciences,Applicant
160075,CB Insights,Applicant
160076,Ceiba Solutions,Applicant
160077,Center for Responsive Politics,Applicant
160078,Cerner,Applicant
160079,Certara,Applicant
160080,CGI,Applicant
160081,Charles River Associates,Applicant
160082,Charles Schwab Corp.,Applicant
160083,Chemical Abstracts Service,Applicant
160084,Child Care Desk,Applicant
160085,Chubb,Applicant
160086,Citigroup,Applicant
160087,CityScan,Applicant
160088,CitySourced,Applicant
160089,Civic Impulse LLC,Applicant
160090,Civic Insight,Applicant
160091,Civinomics,Applicant
160092,Civis Analytics,Applicant
160093,Clean Power Finance,Applicant
160094,ClearHealthCosts,Applicant
160095,ClearStory Data,Applicant
160096,Climate Corporation,Applicant
160097,CliniCast,Applicant
160098,Cloudmade,Applicant
160099,Cloudspyre,Applicant
160100,Code for America,Applicant
160101,Code-N,Applicant
160102,Collective IP,Applicant
160103,"College Abacus, an ECMC initiative",Applicant
160104,College Board,Applicant
160105,Compared Care,Applicant
160106,Compendia Bioscience Life Technologies,Applicant
160107,Compliance and Risks,Applicant
160108,Computer Packages Inc,Applicant
160109,CONNECT-DOT LLC.,Applicant
160110,ConnectEDU,Applicant
160111,Connotate,Applicant
160112,Construction Monitor LLC,Applicant
160113,Consumer Reports,Applicant
160114,CoolClimate,Applicant
160115,Copyright Clearance Center,Applicant
160116,CoreLogic,Applicant
160117,CostQuest,Applicant
160118,Credit Karma,Applicant
160119,Credit Sesame,Applicant
160120,CrowdANALYTIX,Applicant
160121,Dabo Health,Applicant
160122,DataLogix,Applicant
160123,DataMade,Applicant
160124,DataMarket,Applicant
160125,Datamyne,Applicant
160126,DataWeave,Applicant
160127,Deloitte,Applicant
160128,DemystData,Applicant
160129,Department of Better Technology,Applicant
160130,Development Seed,Applicant
160131,"Docket Alarm, Inc.",Applicant
160132,Dow Jones & Co.,Applicant
160133,Dun & Bradstreet,Applicant
160134,Earth Networks,Applicant
160135,EarthObserver App,Applicant
160136,Earthquake Alert!,Applicant
160137,Eat Shop Sleep,Applicant
160138,Ecodesk,Applicant
160139,eInstitutional,Applicant
160140,Embark,Applicant
160141,EMC,Applicant
160142,"Energy Points, Inc.",Applicant
160143,Energy Solutions Forum,Applicant
160144,Enervee Corporation,Applicant
160145,Enigma.io,Applicant
160146,Ensco,Applicant
160147,Environmental Data Resources,Applicant
160148,Epsilon,Applicant
160149,Equal Pay for Women,Applicant
160150,Equifax,Applicant
160151,Equilar,Applicant
160152,Ernst & Young LLP,Applicant
160153,eScholar LLC.,Applicant
160154,Esri,Applicant
160155,Estately,Applicant
160156,Everyday Health,Applicant
160157,Evidera,Applicant
160158,Experian,Applicant
160159,"Expert Health Data Programming, Inc.",Applicant
160160,Exversion,Applicant
160161,Ez-XBRL,Applicant
160162,Factset,Applicant
160163,Factual,Applicant
160164,Farmers,Applicant
160165,FarmLogs,Applicant
160166,Fastcase,Applicant
160167,Fidelity Investments,Applicant
160168,FindTheBest.com,Applicant
160169,First Fuel Software,Applicant
160170,"FirstPoint, Inc.",Applicant
160171,Fitch,Applicant
160172,FlightAware,Applicant
160173,FlightStats,Applicant
160174,FlightView,Applicant
160175,Food+Tech Connect,Applicant
160176,Forrester Research,Applicant
160177,Foursquare,Applicant
160178,Fujitsu,Applicant
160179,Funding Circle,Applicant
160180,FutureAdvisor,Applicant
160181,"Fuzion Apps, Inc.",Applicant
160182,Gallup,Applicant
160183,Galorath Incorporated,Applicant
160184,Garmin,Applicant
160185,Genability,Applicant
160186,GenoSpace,Applicant
160187,Geofeedia,Applicant
160188,Geolytics,Applicant
160189,Geoscape,Applicant
160190,GetRaised,Applicant
160191,GitHub,Applicant
160192,Glassy Media,Applicant
160193,Golden Helix,Applicant
160194,GoodGuide,Applicant
160195,Google Maps,Applicant
160196,Google Public Data Explorer,Applicant
160197,Government Transaction Services,Applicant
160198,Govini,Applicant
160199,GovTribe,Applicant
160200,"Govzilla, Inc.",Applicant
160201,gRadiant Research LLC,Applicant
160202,Graebel Van Lines,Applicant
160203,"Graematter, Inc.",Applicant
160204,Granicus,Applicant
160205,GreatSchools,Applicant
160206,GuideStar,Applicant
160207,H3 Biomedicine,Applicant
160208,Harris Corporation,Applicant
160209,"HDScores, Inc",Applicant
160210,Headlight,Applicant
160211,Healthgrades,Applicant
160212,Healthline,Applicant
160213,HealthMap,Applicant
160214,"HealthPocket, Inc.",Applicant
160215,HelloWallet,Applicant
160216,HERE,Applicant
160217,Honest Buildings,Applicant
160218,HopStop,Applicant
160219,Housefax,Applicant
160220,How's My Offer?,Applicant
160221,IBM,Applicant
160222,ideas42,Applicant
160223,iFactor Consulting,Applicant
160224,IFI CLAIMS Patent Services,Applicant
160225,iMedicare,Applicant
160226,Impact Forecasting (Aon),Applicant
160227,Impaq International,Applicant
160228,Import.io,Applicant
160229,IMS Health,Applicant
160230,InCadence,Applicant
160231,indoo.rs,Applicant
160232,InfoCommerce Group,Applicant
160233,Informatica,Applicant
160234,InnoCentive,Applicant
160235,Innography,Applicant
160236,Innovest Systems,Applicant
160237,Inovalon,Applicant
160238,Inrix Traffic,Applicant
160239,Intelius,Applicant
160240,Intermap Technologies,Applicant
160241,Investormill,Applicant
160242,Iodine,Applicant
160243,IPHIX,Applicant
160244,iRecycle,Applicant
160245,iTriage,Applicant
160246,IVES Group Inc,Applicant
160247,IW Financial,Applicant
160248,JJ Keller,Applicant
160249,J.P. Morgan Chase,Applicant
160250,"Junar, Inc.",Applicant
160251,Gianni Cacciarini,Applicant
160252,Giovanni Battista Caccini,Applicant
160253,Gerard Cachet,Applicant
160254,Alfred Cadart,Applicant
160255,Giuseppe Cades,Applicant
160256,Paul Cadmus,Applicant
160257,Harrison Cady,Applicant
160258,Ippolito Caffi,Applicant
160259,John Cage,Applicant
160260,Guido Cagnacci,Applicant
160261,Luigi Cagnola,Applicant
160262,Marcelle Cahn,Applicant
160263,Gustave Caillebotte,Applicant
160264,Jean Caillou,Applicant
160265,Charles William Cain,Applicant
160266,Fred Cain,Applicant
160267,Gasparo Cairano,Applicant
160268,Earl of Caithness,Applicant
160269,il Calabrese,Applicant
160270,Alexandre Calame,Applicant
160271,Giacinto Calandrucci,Applicant
160272,Letterio Calapai,Applicant
160273,Nicolas Calas,Applicant
160274,Lawrence Calcagno,Applicant
160275,Polidoro Caldara,Applicant
160276,Randolph Caldecott,Applicant
160277,Alexander Calder,Applicant
160278,Ludmilla Calderon,Applicant
160279,Mary Steichen Calderone,Applicant
160280,James Caldwall,Applicant
160281,Robert Allan Cale,Applicant
160282,Paolo Caliari,Applicant
160283,Jan van Call I,Applicant
160284,Harry Callahan,Applicant
160285,Harry Morey Callahan,Applicant
160286,Kenneth Callahan,Applicant
160287,Sophie Calle,Applicant
160288,Mark Callen,Applicant
160289,Mary Callery,Applicant
160290,Jo Ann Callis,Applicant
160291,Jacques Callot,Applicant
160292,William Callow,Applicant
160293,Denys Calvaert,Applicant
160294,Edward Calvert,Applicant
160295,Robert Calvin,Applicant
160296,Andrea Camassei,Applicant
160297,Giovanni Battista Cambi,Applicant
160298,Luca Cambiaso,Applicant
160299,Andrea Cambio,Applicant
160300,Gambattista Cambio,Applicant
160301,Giovanni Battista Cambio,Applicant
160302,melio ,Applicant
160303,Giuseppe Camerata II,Applicant
160304,Charles Cameron,Applicant
160305,David Young Cameron,Applicant
160306,Julia Margaret Cameron,Applicant
160307,Malcolm Cameron,Applicant
160308,Melvina Cames,Applicant
160309,Vina Jane Cochran Cames,Applicant
160310,Albert Camilli,Applicant
160311,mligue ,Applicant
160312,Girolamo Campagna,Applicant
160313,Domenico Campagnola,Applicant
160314,Giulio Campagnola,Applicant
160315,Angelo Campanella,Applicant
160316,Johann Jacob Campanus,Applicant
160317,Blendon Reed Campbell,Applicant
160318,Charles Campbell,Applicant
160319,Colen Campbell,Applicant
160320,Donald Campbell,Applicant
160321,Douglas Campbell,Applicant
160322,Elmer Simms Campbell,Applicant
160323,Roger Campbell,Applicant
160324,Rollington Campbell,Applicant
160325,Rose Campbell,Applicant
160326,Heinrich Campendonk,Applicant
160327,Giulio Campi,Applicant
160328,Massimo Campigli,Applicant
160329,Giovanni Domenico Campiglia,Applicant
160330,Robert Campin,Applicant
160331,Antonio Campo,Applicant
160332,Peter Campus,Applicant
160333,Vincenzo Camuccini,Applicant
160334,Giambattista Canal,Applicant
160335,Giovanni Antonio Canal,Applicant
160336,naletto ,Applicant
160337,Victor Candell,Applicant
160338,Peter Candid,Applicant
160339,Giovanni Candida,Applicant
160340,Pietro Candido,Applicant
160341,Giacomo Caneva,Applicant
160342,Robert Caney,Applicant
160343,Francesco Cangiullo,Applicant
160344,Giovanni Angelo Canini,Applicant
160345,Joseph Cannella,Applicant
160346,Rafael Canogar,Applicant
160347,Antonio Canova,Applicant
160348,Remigio Cantagallina,Applicant
160349,Maria Boveri Cantarella,Applicant
160350,Simone Cantarini,Applicant
160351,Domenico Maria Canuti,Applicant
160352,Michele Canzio,Applicant
160353,Ernest Capaldo,Applicant
160354,Rhys Caparn,Applicant
160355,Antonio Capellan,Applicant
160356,Giacinto Capelli,Applicant
160357,Bernardino Capitelli,Applicant
160358,Giuseppe Capogrossi,Applicant
160359,Angelica Caporaso,Applicant
160360,Jan van de Cappelle,Applicant
160361,Leonetto Cappiello,Applicant
160362,pponi ,Applicant
160363,Charles Merrick Capps,Applicant
160364,il Cappuccio,Applicant
160365,Alessandro Capra,Applicant
160366,Elmer Capshaw,Applicant
160367,Lily Capson,Applicant
160368,Jose Manuel Capuletti,Applicant
160369,Jean Gabriel Caquet,Applicant
160370,Kathleen Caraccio,Applicant
160371,Roberto Caracciolo,Applicant
160372,radosso ,Applicant
160373,Gian Jacopo Caraglio,Applicant
160374,Giovanni Jacopo Caraglio,Applicant
160375,Vincent Carano,Applicant
160376,Girolamo Carattoni,Applicant
160377,ravaggio ,Applicant
160378,Michelangelo Merisi da Caravaggio,Applicant
160379,Polidoro da Caravaggio,Applicant
160380,Ludovico Carazzari,Applicant
160381,Antonio Carbonati,Applicant
160382,Marin Carburi de Ceffalonie,Applicant
160383,Agustin Cardenas,Applicant
160384,Lodovico Cardi,Applicant
160385,Charles Cardinale,Applicant
160386,Sauro Cardinale,Applicant
160387,Marco Cardisco,Applicant
160388,Anthony Cardon,Applicant
160389,Vicenzio Carducci,Applicant
160390,Vicencio Carducho,Applicant
160391,Vicente Carducho,Applicant
160392,riani ,Applicant
160393,Giovanni Cariani,Applicant
160394,Catherine Carine,Applicant
160395,Mathias Carl,Applicant
160396,Arthur Beecher Carles,Applicant
160397,Luca Carlevariis,Applicant
160398,Luca Carlevarijs,Applicant
160399,Don Carli,Applicant
160400,Marie Carlier,Applicant
160401,Martin Carlin,Applicant
160402,Steve Carlisle,Applicant
160403,rlo Veneziano ,Applicant
160404,Carlo Innocenzo Carlone,Applicant
160405,Emil Carlsen,Applicant
160406,Soren Emil Carlsen,Applicant
160407,Albert Carman,Applicant
160408,rmontelle ,Applicant
160409,Fra Carnevale,Applicant
160410,Anthony Caro,Applicant
160411,Adolphe Alexandre Joseph Caron,Applicant
160412,Antoine Caron,Applicant
160413,Paolo Carosone,Applicant
160414,Vittore Carpaccio,Applicant
160415,Francis Bicknell Carpenter,Applicant
160416,Ugo da Carpi,Applicant
160417,Giulio Carpioni,Applicant
160418,Jack Carr,Applicant
160419,John Carr,Applicant
160420,John Carr of York,Applicant
160421,Agostino Carracci,Applicant
160422,Annibale Carracci,Applicant
160423,Francesco Carracci,Applicant
160424,Lodovico Carracci,Applicant
160425,Antoine Carree,Applicant
160426,Rosalba Carriera,Applicant
160427,Leonora Carrington,Applicant
160428,called Carmontelle Carrogis,Applicant
160429,John Carroll,Applicant
160430,Lewis Carroll,Applicant
160431,Laurent Cars,Applicant
160432,Jon Carsman,Applicant
160433,Karen Carson,Applicant
160434,Vincenzo Cartari,Applicant
160435,Clarence Holbrook Carter,Applicant
160436,Erskine Carter,Applicant
160437,John Carter,Applicant
160438,William Carter,Applicant
160439,Ferdinand Cartier,Applicant
160440,Norman Carton,Applicant
160441,Jacopo Carucci,Applicant
160442,Carl Gustav Carus,Applicant
160443,A Cary,Applicant
160444,William De La Montagne Cary,Applicant
160445,Francesco Casanova,Applicant
160446,Edmond Casarella,Applicant
160447,Michael Cascadden,Applicant
160448,Charles Caseau,Applicant
500001,Hans von Aachen,Patent_Examiner
500002,Magdalena Abakanowicz,Patent_Examiner
500003,Pietro Giovanni Abbati,Patent_Examiner
500004,Guido Ubaldo Abbatini,Patent_Examiner
500005,Elfriede Martha Abbe,Patent_Examiner
500006,William Parker Abbe,Patent_Examiner
500007,Edwin Austin Abbey,Patent_Examiner
500008,Giuseppe Abbiati,Patent_Examiner
500009,Berenice Abbott,Patent_Examiner
500010,John White Abbott,Patent_Examiner
500011,Lemuel Francis Abbott,Patent_Examiner
500012,Nobuya Abe,Patent_Examiner
500013,Mike Abel,Patent_Examiner
500014,Myer Abel,Patent_Examiner
500015,Ida York Abelman,Patent_Examiner
500016,Jacobus Theodorus Abels,Patent_Examiner
500017,Antonio Abondio,Patent_Examiner
500018,Elie Abrahami,Patent_Examiner
500019,Albert Abramovitz,Patent_Examiner
500020,Ben Abramowitz,Patent_Examiner
500021,Benjamin Abramowitz,Patent_Examiner
500022,Ross Abrams,Patent_Examiner
500023,Ruth Abrams,Patent_Examiner
500024,William Ross Abrams,Patent_Examiner
500025,Nino Abranos,Patent_Examiner
500026,Angel Abreu,Patent_Examiner
500027,Tomma Abts,Patent_Examiner
500028,Rodolfo Abularach,Patent_Examiner
500029,Nicholas Acampora,Patent_Examiner
500030,Vito Acconci,Patent_Examiner
500031,Johann von Achen,Patent_Examiner
500032,Hans Achenbach,Patent_Examiner
500033,Keith Anden Achepohl,Patent_Examiner
500034,Bogdan Achimescu,Patent_Examiner
500035,Max Ackermann,Patent_Examiner
500036,Rudolf Werner Ackermann,Patent_Examiner
500037,Norman Ackroyd,Patent_Examiner
500038,am ,Patent_Examiner
500039,Franz Adam,Patent_Examiner
500040,Jacob Adam,Patent_Examiner
500041,James Adam,Patent_Examiner
500042,Robert Adam,Patent_Examiner
500043,Victor Adam,Patent_Examiner
500044,William Adam,Patent_Examiner
500045,Ansel Adams,Patent_Examiner
500046,Ansel Easton Adams,Patent_Examiner
500047,Clinton Adams,Patent_Examiner
500048,Herbert Adams,Patent_Examiner
500049,Jean Crawford Adams,Patent_Examiner
500050,Kenneth Miller Adams,Patent_Examiner
500051,Robert Adams,Patent_Examiner
500052,Robert and Kerstin Adams,Patent_Examiner
500053,Ron Adams,Patent_Examiner
500054,Wayman Adams,Patent_Examiner
500055,Robert Adamson,Patent_Examiner
500056,Louis Emile Adan,Patent_Examiner
500057,Craig Adcock,Patent_Examiner
500058,Clifford Isaac Addams,Patent_Examiner
500059,Lillian Adelman,Patent_Examiner
500060,Luigi Ademollo,Patent_Examiner
500061,Bas Jan Ader,Patent_Examiner
500062,Henry Adlard,Patent_Examiner
500063,Vosdanik Manook Adoian,Patent_Examiner
500064,riano Fiorentino ,Patent_Examiner
500065,Roy Adzak,Patent_Examiner
500066,Willem van Aelst,Patent_Examiner
500067,ro ,Patent_Examiner
500068,tograf ,Patent_Examiner
500069,Ignazio Agliaudo,Patent_Examiner
500070,Agostino Aglio,Patent_Examiner
500071,Augustine Aglio,Patent_Examiner
500072,ostino di Duccio ,Patent_Examiner
500073,Eduard Agricola,Patent_Examiner
500074,Giovanni Guido Agrippa,Patent_Examiner
500075,Leopoldo Torres Aguero,Patent_Examiner
500076,Franciscus Aguilonius,Patent_Examiner
500077,George Charles Aid,Patent_Examiner
500078,Walter Monteith Aikman,Patent_Examiner
500079,Abe Ajay,Patent_Examiner
500080,Kinji Akagawa,Patent_Examiner
500081,Hiroshi Akana,Patent_Examiner
500082,Jan van Aken,Patent_Examiner
500083,Johann von Aken,Patent_Examiner
500084,Frank Akers,Patent_Examiner
500085,Willem Outgertsz Akersloot,Patent_Examiner
500086,Masabikh Fatkhylilamovich Akhunov,Patent_Examiner
500087,Marie Alain,Patent_Examiner
500088,Pier Jacopo Alari Bonacolsi,Patent_Examiner
500089,Francesco Albani,Patent_Examiner
500090,Gerhard Albin Albe,Patent_Examiner
500091,Grace Thurston Arnold Albee,Patent_Examiner
500092,Zanin I Alberghetti,Patent_Examiner
500093,Giovanni Alberghetti I,Patent_Examiner
500094,Anni Albers,Patent_Examiner
500095,Josef Albers,Patent_Examiner
500096,Adolphe Albert,Patent_Examiner
500097,Gaetano Albertazi,Patent_Examiner
500098,Cherubino Alberti,Patent_Examiner
500099,Giovanni Alberti,Patent_Examiner
500100,Leone Battista Alberti,Patent_Examiner
500101,Ferdinando Albertolli,Patent_Examiner
500102,Giocondo Albertolli,Patent_Examiner
500103,Raffaeli Albertolli,Patent_Examiner
500104,Julien Alberts,Patent_Examiner
500105,Karl Albiker,Patent_Examiner
500106,Eleazar Albin,Patent_Examiner
500107,Dewey Albinson,Patent_Examiner
500108,Bernard Siegfried Albinus,Patent_Examiner
500109,Felice Albites,Patent_Examiner
500110,Gertrude Partington Albright,Patent_Examiner
500111,Herman Oliver Albright,Patent_Examiner
500112,Ivan Le Lorraine Albright,Patent_Examiner
500113,Malvin Marr Albright,Patent_Examiner
500114,Edward Albritton,Patent_Examiner
500115,Maxine Albro,Patent_Examiner
500116,Daisy Aldan,Patent_Examiner
500117,Heinrich Aldegrever,Patent_Examiner
500118,Adolf Aldrich,Patent_Examiner
500119,Jacques Aleaume,Patent_Examiner
500120,Pierre Alechinsky,Patent_Examiner
500121,Doris Alexander,Patent_Examiner
500122,Dorothy Alexander,Patent_Examiner
500123,Eleanor Alexander,Patent_Examiner
500124,Esther Frances Alexander,Patent_Examiner
500125,Francesca Alexander,Patent_Examiner
500126,Francis Alexander,Patent_Examiner
500127,William Alexander,Patent_Examiner
500128,Alessandro Algardi,Patent_Examiner
500129,Jacques Aliamet,Patent_Examiner
500130,Samuel Alken,Patent_Examiner
500131,Angelique Allais,Patent_Examiner
500132,William Allan,Patent_Examiner
500133,Carel Allard,Patent_Examiner
500134,lardet ,Patent_Examiner
500135,legretto di Nuzi ,Patent_Examiner
500136,legretto Nuzi ,Patent_Examiner
500137,Antonio Allegri,Patent_Examiner
500138,Francesco Allegrini,Patent_Examiner
500139,Albert Allen,Patent_Examiner
500140,Anne Allen,Patent_Examiner
500141,Courtney Allen,Patent_Examiner
500142,Eldon Allen,Patent_Examiner
500143,James Allen,Patent_Examiner
500144,Joseph Allen,Patent_Examiner
500145,Luther Allen,Patent_Examiner
500146,Giovanni Allet,Patent_Examiner
500147,Jean Charles Allet,Patent_Examiner
500148,Thomas Allom,Patent_Examiner
500149,Alessandro Allori,Patent_Examiner
500150,Alessandro di Cristofano di Lorenzo Allori,Patent_Examiner
500151,Washington Allston,Patent_Examiner
500152,Jenny Almgren,Patent_Examiner
500153,Anna Aloisi,Patent_Examiner
500154,Glen Earl Alps,Patent_Examiner
500155,Charles Alston,Patent_Examiner
500156,Jakob Alt,Patent_Examiner
500157,Jaroslav Alt,Patent_Examiner
500158,Rudolf von Alt,Patent_Examiner
500159,Albrecht Altdorfer,Patent_Examiner
500160,Erhard Altdorfer,Patent_Examiner
500161,Erhard Altdorffer,Patent_Examiner
500162,tichiero da Zevio ,Patent_Examiner
500163,Harold Altman,Patent_Examiner
500164,Andreas Altomonte,Patent_Examiner
500165,Martino Altomonte,Patent_Examiner
500166,John Altoon,Patent_Examiner
500167,Murray Altshuler,Patent_Examiner
500168,Francisco Alvarez,Patent_Examiner
500169,Manuel Alvarez Bravo,Patent_Examiner
500170,vise dal Friso ,Patent_Examiner
500171,Linnet Alward,Patent_Examiner
500172,Amadio Amadei,Patent_Examiner
500173,Filippo Amadei,Patent_Examiner
500174,Giovanni Antonio Amadeo,Patent_Examiner
500175,Hans Amann,Patent_Examiner
500176,Nicholas Amantea,Patent_Examiner
500177,Bartholomeus Amantius,Patent_Examiner
500178,Francesco Amato,Patent_Examiner
500179,brogio da Fossano ,Patent_Examiner
500180,Nancy Amello,Patent_Examiner
500181,Irving Amen,Patent_Examiner
500182,Gregory Amenoff,Patent_Examiner
500183,Emilio Amero,Patent_Examiner
500184,Ezra Ames,Patent_Examiner
500185,Joseph Alexander Ames,Patent_Examiner
500186,Bernardino Amico,Patent_Examiner
500187,Santiago Amiconi,Patent_Examiner
500188,Cuno Amiet,Patent_Examiner
500189,Jacopo Amigoni,Patent_Examiner
500190,Carl Gustav Amling,Patent_Examiner
500191,Karl Gustav von Amling,Patent_Examiner
500192,Jobst Amman,Patent_Examiner
500193,Jost Amman,Patent_Examiner
500194,Klemens Ammon,Patent_Examiner
500195,acreon ,Patent_Examiner
500196,William Anastasi,Patent_Examiner
500197,Harold Anchel,Patent_Examiner
500198,Edouard Ancourt,Patent_Examiner
500199,Niels Yde Andersen,Patent_Examiner
500200,Alexander Anderson,Patent_Examiner
500201,Alfred Charles Stanley Anderson,Patent_Examiner
500202,Carlos Anderson,Patent_Examiner
500203,Clarence William Anderson,Patent_Examiner
500204,Frank Hartley Anderson,Patent_Examiner
500205,James Anderson,Patent_Examiner
500206,Stanley Anderson,Patent_Examiner
500207,Steve Anderson,Patent_Examiner
500208,Therkel Anderson,Patent_Examiner
500209,Walter Anderson,Patent_Examiner
500210,Walter Inglis Anderson,Patent_Examiner
500211,Mamma Andersson,Patent_Examiner
500212,Chieko Ando,Patent_Examiner
500213,Joe Andoe,Patent_Examiner
500214,Carl Andre,Patent_Examiner
500215,Nicolaus Andrea,Patent_Examiner
500216,Zoan Andrea,Patent_Examiner
500217,drea del Castagno ,Patent_Examiner
500218,drea di Bartolo ,Patent_Examiner
500219,drea di Cione ,Patent_Examiner
500220,Andrea Andreani,Patent_Examiner
500221,Johann Anton Andree,Patent_Examiner
500222,Giorgio di Pietro Andreoli,Patent_Examiner
500223,Vincenzo Andreoli,Patent_Examiner
500224,Mariano Andreu,Patent_Examiner
500225,John Andrew,Patent_Examiner
500226,Julia Andrews,Patent_Examiner
500227,Mari Andrews,Patent_Examiner
500228,Sybil Andrews,Patent_Examiner
500229,Pierre Andrieu,Patent_Examiner
500230,Jacques Androuet du Cerceau I,Patent_Examiner
500231,James Roman Andrus,Patent_Examiner
500232,Vera Andrus,Patent_Examiner
500233,Claude Anet,Patent_Examiner
500234,Anthony Angarola,Patent_Examiner
500235,Giuseppe Angeli,Patent_Examiner
500236,Fra Angelico,Patent_Examiner
500237,Pietro de Angelis,Patent_Examiner
500238,Michael Valenti Angelo,Patent_Examiner
500239,Valenti Angelo,Patent_Examiner
500240,Robert Angeloch,Patent_Examiner
500241,Battista Angolo del Moro,Patent_Examiner
500242,Michel Anguier,Patent_Examiner
500243,Jaime de Angulo,Patent_Examiner
500244,Charlotte Angus,Patent_Examiner
500245,William Angus,Patent_Examiner
500246,Boris Anisfield,Patent_Examiner
500247,James Craig Annan,Patent_Examiner
500248,Thomas Annan,Patent_Examiner
500249,Ina Annette,Patent_Examiner
500250,Louis Annino,Patent_Examiner
500251,onymous Artist ,Patent_Examiner
500252,onymous Chinese Liao Dynasty ,Patent_Examiner
500253,onymous Chinese Ming Dynasty ,Patent_Examiner
500254,onymous Chinese Northern Song Dynasty ,Patent_Examiner
500255,onymous Chinese Qing Dynasty ,Patent_Examiner
500256,onymous Chinese Republic ,Patent_Examiner
500257,onymous Chinese Song Dynasty ,Patent_Examiner
500258,onymous Chinese Southern Song Dynasty ,Patent_Examiner
500259,onymous Chinese Tang Dynasty ,Patent_Examiner
500260,onymous Egyptian Ptolemaic Period ,Patent_Examiner
500261,onymous Fabriczy ,Patent_Examiner
500262,onymous Italian ,Patent_Examiner
500263,onymous Italian or French ,Patent_Examiner
500264,onymous Japanese Edo Period ,Patent_Examiner
500265,onymous Korean Koryo Dynasty ,Patent_Examiner
500266,Louis Anquetin,Patent_Examiner
500267,Giovanni Andrea Ansaldo,Patent_Examiner
500268,sano di Pietro di Mencio ,Patent_Examiner
500269,Richard Ansdell,Patent_Examiner
500270,Luggert van Anse,Patent_Examiner
500271,Michelangelo Anselmi,Patent_Examiner
500272,Giovanni Anselmo,Patent_Examiner
500273,Thomas Anshutz,Patent_Examiner
500274,Thomas Pollock Anshutz,Patent_Examiner
500275,Horst Antes,Patent_Examiner
500276,tico ,Patent_Examiner
500277,the Antique,Patent_Examiner
500278,duc de Montpensier Antoine,Patent_Examiner
500279,Stephen Antonakos,Patent_Examiner
500280,Giuseppe Antonelli,Patent_Examiner
500281,Peter Antonelli,Patent_Examiner
500282,tonello da Messina ,Patent_Examiner
500283,tonello della Moneta ,Patent_Examiner
500284,Annapia Antonini,Patent_Examiner
500285,Carlo Antonini,Patent_Examiner
500286,Fra Antonio da Brescia,Patent_Examiner
500287,tonio da Trento ,Patent_Examiner
500288,Garo Zareh Antreasian,Patent_Examiner
500289,Nemesio Antunez,Patent_Examiner
500290,Richard Anuszkiewicz,Patent_Examiner
500291,Petrus Apianus,Patent_Examiner
500292,Guillaume Apollinaire,Patent_Examiner
500293,Karel Appel,Patent_Examiner
500294,Dieter Appelt,Patent_Examiner
500295,Adolphe Appian,Patent_Examiner
500296,Jacques Barthelemy Appian,Patent_Examiner
500297,Andrea Appiani,Patent_Examiner
500298,Andrea Appiani I,Patent_Examiner
500299,Anne Appleby,Patent_Examiner
500300,Francesco Faraone Aquila,Patent_Examiner
500301,Pompeo Aquilano,Patent_Examiner
500302,akawa ,Patent_Examiner
500303,Shusaku Arakawa,Patent_Examiner
500304,Arelia Arbo,Patent_Examiner
500305,Diane Arbus,Patent_Examiner
500306,Alexander Archipenko,Patent_Examiner
500307,Giuseppe Arcimboldo,Patent_Examiner
500308,Agostino Ardenti,Patent_Examiner
500309,Cesare Aretusi,Patent_Examiner
500310,Bartolomeo Argenterio,Patent_Examiner
500311,Michiko Arima,Patent_Examiner
500312,Lodovico Ariosto,Patent_Examiner
500313,Bruce Ariss,Patent_Examiner
500314,Takeshi Arita,Patent_Examiner
500315,Marcel Arland,Patent_Examiner
500316,man ,Patent_Examiner
500317,Ludmila Armata,Patent_Examiner
500318,Emil Armin,Patent_Examiner
500319,Caroline Helena Armington,Patent_Examiner
500320,John Taylor Arms,Patent_Examiner
